battle_url,location
https://en.wikipedia.org/wiki/Battle_of_the_Uxian_Defile,East of Susa32°11′26″N 48°15′2″E﻿ / ﻿32.19056°N 48.25056°E﻿ / 32.19056; 48.25056
https://en.wikipedia.org/wiki/Battle_of_the_Persian_Gate,"Persian Gate, near Persepolis30°42′30″N 51°35′55″E﻿ / ﻿30.70833°N 51.59861°E﻿ / 30.70833; 51.59861"
https://en.wikipedia.org/wiki/Siege_of_Cyropolis,"Cyropolis, Sogdiana (present-day Tajikistan)40°17′00″N 69°38′00″E﻿ / ﻿40.283333°N 69.633333°E﻿ / 40.283333; 69.633333"
https://en.wikipedia.org/wiki/Battle_of_Jaxartes,Syr Darya40°17′00″N 69°37′00″E﻿ / ﻿40.28333°N 69.61667°E﻿ / 40.28333; 69.61667
https://en.wikipedia.org/wiki/Siege_of_the_Sogdian_Rock,"Sogdiana, present-day Tajikistan40°24′N 69°24′E﻿ / ﻿40.4°N 69.4°E﻿ / 40.4; 69.4"
https://en.wikipedia.org/wiki/Battle_of_the_Hydaspes,Hydaspes River (modern-day Pakistan)32°49′40″N 73°38′20″E﻿ / ﻿32.82778°N 73.63889°E﻿ / 32.82778; 73.63889
https://en.wikipedia.org/wiki/Battle_of_Imbrinium,"near Imbrinium, in Samnium"
https://en.wikipedia.org/wiki/Battle_of_Plataea_(323_BC),"Plataea, Boeotia"
https://en.wikipedia.org/wiki/Battle_of_Thermopylae_(323_BC),Thermopylae
https://en.wikipedia.org/wiki/Siege_of_Lamia,Lamia
https://en.wikipedia.org/wiki/Battle_of_Amorgos,"Amorgos, Cyclades, Greece"
https://en.wikipedia.org/wiki/Battle_of_the_Echinades_(322_BC),Echinades islands or off the Malian Gulf
https://en.wikipedia.org/wiki/Battle_of_Melitaea,Unknown location in Thessaly
https://en.wikipedia.org/wiki/Battle_of_Crannon,Thessaly
https://en.wikipedia.org/wiki/Battle_of_the_Caudine_Forks,Caudine Forks (near Caudium)41°09′00″N 14°32′00″E﻿ / ﻿41.1500°N 14.5333°E﻿ / 41.1500; 14.5333
https://en.wikipedia.org/wiki/Battle_of_the_Hellespont_(321_BC),near the Dardanelles(modern-day Turkey)40°N 28°E﻿ / ﻿40°N 28°E﻿ / 40; 28
https://en.wikipedia.org/wiki/Battle_of_Orkynia,near Orkynia (in Cappadocia)(modern-day Turkey)
https://en.wikipedia.org/wiki/Battle_of_Cretopolis,"near Cretopolis (in Pisidia/Asia Minor)(modern-day Büğdüz, Burdur, Turkey)"
https://en.wikipedia.org/wiki/Siege_of_Megalopolis,"Megalopolis, Greece"
https://en.wikipedia.org/wiki/Battle_of_Byzantium,"near Byzantium(modern-day Istanbul, Turkey)40°12′N 26°24′E﻿ / ﻿40.2°N 26.4°E﻿ / 40.2; 26.4"
